Nom,Id_Club,Club,Catégorie,Volee_1_Score_1,Volee_1_Score_2,Volee_1_Score_3,Volee_1_Score_4,Volee_1_Score_5,Volee_1_Score_6,Volee_2_Score_1,Volee_2_Score_2,Volee_2_Score_3,Volee_2_Score_4,Volee_2_Score_5,Volee_2_Score_6,Volee_3_Score_1,Volee_3_Score_2,Volee_3_Score_3,Volee_3_Score_4,Volee_3_Score_5,Volee_3_Score_6,Volee_4_Score_1,Volee_4_Score_2,Volee_4_Score_3,Volee_4_Score_4,Volee_4_Score_5,Volee_4_Score_6,Volee_5_Score_1,Volee_5_Score_2,Volee_5_Score_3,Volee_5_Score_4,Volee_5_Score_5,Volee_5_Score_6,Volee_6_Score_1,Volee_6_Score_2,Volee_6_Score_3,Volee_6_Score_4,Volee_6_Score_5,Volee_6_Score_6
Montoya Estelle,0271076,Macon,CO S1F,9,9,8,8,7,6,10,9,9,9,8,6,10,8,8,8,7,7,9,9,8,8,7,7,X,9,9,9,8,7,X,10,9,8,8,6
Leroy Chloe,0976103,Le Havre Chta,CO U21F,X,X,10,10,10,9,X,X,X,10,10,10,10,10,9,9,9,9,X,X,10,9,9,8,X,X,X,10,10,9,10,10,10,9,9,8
Leroy Chloe,0976103,Le Havre Chta,CO U21F,10,10,9,9,9,9,9,9,9,9,8,7,X,X,10,9,9,8,X,X,X,10,10,8,X,10,9,9,9,9,X,10,10,10,10,10
Touraine-Helias Kyla,0892193,Rueil Malmaison Star,CO S1F,X,10,10,10,10,9,10,10,9,9,9,9,X,X,10,10,9,9,X,10,10,9,9,9,X,X,X,10,9,9,X,10,10,9,9,8
Touraine-Helias Kyla,0892193,Rueil Malmaison Star,CO S1F,X,X,10,10,9,9,X,10,10,10,10,9,X,10,10,10,9,9,X,9,9,9,8,8,X,X,9,9,9,9,X,X,10,10,9,9
Villeloup Myriam,0271076,Macon,CO S2F,9,9,9,8,8,8,9,8,8,8,7,6,X,9,8,8,8,7,10,10,8,8,7,7,10,10,9,9,8,8,10,9,9,9,8,7
Villeloup Myriam,0271076,Macon,CO S2F,10,9,9,9,7,M,X,X,10,9,9,6,10,10,10,10,9,9,10,9,9,8,6,M,9,9,9,8,8,7,X,X,10,10,9,9
Florent Anaelle,1130041,Nimes,CO S1F,X,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,9,9,X,10,10,10,9,8,X,X,X,10,9,9,X,X,10,10,10,9
Florent Anaelle,1130041,Nimes,CO S1F,X,10,9,9,9,8,X,10,10,10,9,9,X,10,10,10,9,9,X,X,10,10,9,9,10,10,10,9,9,9,X,10,10,9,9,9
Herve Sandra,0892193,Rueil Malmaison Star,CO S1F,X,10,10,9,9,9,X,X,9,9,9,M,X,X,X,X,X,9,X,X,X,X,10,9,X,X,X,10,9,9,X,X,X,10,9,9
Herve Sandra,0892193,Rueil Malmaison Star,CO S1F,X,X,10,10,9,9,X,X,X,10,10,10,X,X,10,10,9,8,X,10,10,9,9,9,X,X,10,10,10,9,X,10,10,9,9,9
